PassengerId,Pclass,Age,SibSp,Parch,Male,Embarked,Survived
448,1,7,0,0,1,S,1
449,3,1,2,1,0,C,1
450,1,11,0,0,1,S,1
451,2,8,1,2,1,S,0
452,3,-1,1,0,1,S,0
453,1,6,0,0,1,C,0
454,1,10,1,0,1,C,1
455,3,-1,0,0,1,S,0
456,3,6,0,0,1,C,1
457,1,13,0,0,1,S,0
458,1,-1,1,0,0,S,1
459,2,10,0,0,0,S,1
460,3,-1,0,0,1,Q,0
461,1,10,0,0,1,S,1
462,3,7,0,0,1,S,0
463,1,10,0,0,1,S,0
464,2,10,0,0,1,S,0
465,3,-1,0,0,1,S,0
466,3,8,0,0,1,S,0
467,2,-1,0,0,1,S,0
468,1,12,0,0,1,S,0
469,3,-1,0,0,1,Q,0
470,3,0,2,1,0,C,1
471,3,-1,0,0,1,S,0
472,3,8,0,0,1,S,0
473,2,7,1,2,0,S,1
474,2,5,0,0,0,C,1
475,3,5,0,0,0,S,0
476,1,-1,0,0,1,S,0
477,2,7,1,0,1,S,0
478,3,6,1,0,1,S,0
479,3,5,0,0,1,S,0
480,3,1,0,1,0,S,1
481,3,2,5,2,1,S,0
482,2,-1,0,0,1,S,0
483,3,10,0,0,1,S,0
484,3,13,0,0,0,S,1
485,1,5,1,0,1,C,1
486,3,-1,3,1,0,S,0
487,1,7,1,0,0,S,1
488,1,12,0,0,1,C,0
489,3,6,0,0,1,S,0
490,3,2,1,1,1,S,1
491,3,-1,1,0,1,S,0
492,3,5,0,0,1,S,0
493,1,11,0,0,1,S,0
494,1,15,0,0,1,C,0
495,3,5,0,0,1,S,0
496,3,-1,0,0,1,C,0
497,1,11,1,0,0,C,1
498,3,-1,0,0,1,S,0
499,1,5,1,2,0,S,0
500,3,5,0,0,1,S,0
501,3,4,0,0,1,S,0
502,3,5,0,0,0,Q,0
503,3,-1,0,0,0,Q,0
504,3,8,0,0,0,S,0
505,1,4,0,0,0,S,1
506,1,4,1,0,1,C,0
507,2,7,0,2,0,S,1
508,1,-1,0,0,1,S,1
509,3,6,0,0,1,S,0
510,3,6,0,0,1,S,1
511,3,6,0,0,1,Q,1
512,3,-1,0,0,1,S,0
513,1,8,0,0,1,S,1
514,1,11,1,0,0,C,1
515,3,5,0,0,1,S,0
516,1,10,0,0,1,S,0
517,2,7,0,0,0,S,1
518,3,-1,0,0,1,Q,0
519,2,8,1,0,0,S,1
520,3,7,0,0,1,S,0
521,1,6,0,0,0,S,1
522,3,5,0,0,1,S,0
523,3,-1,0,0,1,C,0
524,1,9,0,1,0,C,1
525,3,-1,0,0,1,C,0
526,3,9,0,0,1,Q,0
527,2,10,0,0,0,S,1
528,1,-1,0,0,1,S,0
529,3,8,0,0,1,S,0
530,2,5,2,1,1,S,0
531,2,1,1,1,0,S,1
532,3,-1,0,0,1,C,0
533,3,4,1,1,1,C,0
534,3,-1,0,2,0,C,1
535,3,6,0,0,0,S,0
536,2,2,0,2,0,S,1
537,1,9,0,0,1,S,0
538,1,6,0,0,0,C,1
539,3,-1,0,0,1,S,0
540,1,5,0,2,0,C,1
541,1,8,0,2,0,S,1
542,3,2,4,2,0,S,0
543,3,3,4,2,0,S,0
544,2,7,1,0,1,S,1
545,1,10,1,0,1,C,0
546,1,13,0,0,1,S,0
547,2,4,1,0,0,S,1
548,2,-1,0,0,1,C,1
549,3,7,1,1,1,S,0
550,2,2,1,1,1,S,1
551,1,4,0,2,1,C,1
552,2,6,0,0,1,S,0
553,3,-1,0,0,1,Q,0
554,3,5,0,0,1,C,1
555,3,5,0,0,0,S,1
556,1,13,0,0,1,S,0
557,1,10,1,0,0,C,1
558,1,-1,0,0,1,C,0
559,1,8,1,1,0,S,1
560,3,8,1,0,0,S,1
561,3,-1,0,0,1,Q,0
562,3,8,0,0,1,S,0
563,2,6,0,0,1,S,0
564,3,-1,0,0,1,S,0
565,3,-1,0,0,0,S,0
566,3,5,2,0,1,S,0
567,3,4,0,0,1,S,0
568,3,6,0,4,0,S,0
569,3,-1,0,0,1,C,0
570,3,7,0,0,1,S,1
571,2,13,0,0,1,S,1
572,1,11,2,0,0,S,1
573,1,8,0,0,1,S,1
574,3,-1,0,0,0,Q,1
575,3,4,0,0,1,S,0
576,3,4,0,0,1,S,0
577,2,7,0,0,0,S,1
578,1,8,1,0,0,S,1
579,3,-1,1,0,0,C,0
580,3,7,0,0,1,S,1
581,2,5,1,1,0,S,1
582,1,8,1,1,0,C,1
583,2,11,0,0,1,S,0
584,1,8,0,0,1,C,0
585,3,-1,0,0,1,C,0
586,1,4,0,2,0,S,1
587,2,10,0,0,1,S,0
588,1,12,1,1,1,C,1
589,3,5,0,0,1,S,0
590,3,-1,0,0,1,S,0
591,3,7,0,0,1,S,0
592,1,11,1,0,0,C,1
593,3,10,0,0,1,S,0
594,3,-1,0,2,0,Q,0
595,2,8,1,0,1,S,0
596,3,8,1,1,1,S,0
597,2,-1,0,0,0,S,1
598,3,10,0,0,1,S,0
599,3,-1,0,0,1,C,0
600,1,10,1,0,1,C,1
601,2,5,2,1,0,S,1
602,3,-1,0,0,1,S,0
603,1,-1,0,0,1,S,0
604,3,9,0,0,1,S,0
605,1,7,0,0,1,C,1
606,3,8,1,0,1,S,0
607,3,6,0,0,1,S,0
608,1,6,0,0,1,S,1
609,2,5,1,2,0,C,1
610,1,8,0,0,0,S,1
611,3,8,1,5,0,S,0
612,3,-1,0,0,1,S,0
613,3,-1,1,0,0,Q,1
614,3,-1,0,0,1,Q,0
615,3,7,0,0,1,S,0
616,2,5,1,2,0,S,1
617,3,7,1,1,1,S,0
618,3,6,1,0,0,S,0
619,2,1,2,1,0,S,1
620,2,6,0,0,1,S,0
621,3,6,1,0,1,C,0
622,1,9,1,0,1,S,1
623,3,4,1,1,1,C,1
624,3,5,0,0,1,S,0
625,3,5,0,0,1,S,0
626,1,13,0,0,1,S,0
627,2,12,0,0,1,Q,0
628,1,5,0,0,0,S,1
629,3,6,0,0,1,S,0
630,3,-1,0,0,1,Q,0
631,1,16,0,0,1,S,1
632,3,11,0,0,1,S,0
633,1,7,0,0,1,C,1
634,1,-1,0,0,1,S,0
635,3,2,3,2,0,S,0
636,2,6,0,0,0,S,1
637,3,7,0,0,1,S,0
638,2,7,1,1,1,S,0
639,3,9,0,5,0,S,0
640,3,-1,1,0,1,S,0
641,3,4,0,0,1,S,0
642,1,5,0,0,0,C,1
643,3,1,3,2,0,S,0
644,3,-1,0,0,1,S,1
645,3,0,2,1,0,C,1
646,1,10,1,0,1,C,1
647,3,4,0,0,1,S,0
648,1,12,0,0,1,C,1
649,3,-1,0,0,1,S,0
650,3,5,0,0,0,S,1
651,3,-1,0,0,1,S,0
652,2,4,0,1,0,S,1
653,3,5,0,0,1,S,0
654,3,-1,0,0,0,Q,1
655,3,4,0,0,0,Q,0
656,2,5,2,0,1,S,0
657,3,-1,0,0,1,S,0
658,3,7,1,1,0,Q,0
659,2,5,0,0,1,S,0
660,1,12,0,2,1,C,0
661,1,10,2,0,1,S,1
662,3,8,0,0,1,C,0
663,1,10,0,0,1,S,0
664,3,8,0,0,1,S,0
665,3,4,1,0,1,S,1
666,2,7,2,0,1,S,0
667,2,5,0,0,1,S,0
668,3,-1,0,0,1,S,0
669,3,9,0,0,1,S,0
670,1,-1,1,0,0,S,1
671,2,8,1,1,0,S,1
672,1,7,1,0,1,S,0
673,2,14,0,0,1,S,0
674,2,7,0,0,1,S,1
675,2,-1,0,0,1,S,0
676,3,4,0,0,1,S,0
677,3,5,0,0,1,S,0
678,3,4,0,0,0,S,1
679,3,9,1,6,0,S,0
680,1,8,0,1,1,C,1
681,3,-1,0,0,0,Q,0
682,1,6,0,0,1,C,1
683,3,4,0,0,1,S,0
684,3,3,5,2,1,S,0
685,2,12,1,1,1,S,0
686,2,5,1,2,1,C,0
687,3,3,4,1,1,S,0
688,3,4,0,0,1,S,0
689,3,4,0,0,1,S,0
690,1,3,0,1,0,S,1
691,1,7,1,0,1,S,1
692,3,1,0,1,0,C,1
693,3,-1,0,0,1,S,1
694,3,5,0,0,1,C,0
695,1,12,0,0,1,S,0
696,2,11,0,0,1,S,0
697,3,9,0,0,1,S,0
698,3,-1,0,0,0,Q,1
699,1,10,1,1,1,C,0
700,3,9,0,0,1,S,0
701,1,4,1,0,0,C,1
702,1,7,0,0,1,S,1
703,3,4,0,1,0,C,0
704,3,5,0,0,1,Q,0
705,3,6,1,0,1,S,0
706,2,8,0,0,1,S,0
707,2,9,0,0,0,S,1
708,1,9,0,0,1,S,1
709,1,5,0,0,0,S,1
710,3,-1,1,1,1,C,1
711,1,5,0,0,0,C,1
712,1,-1,0,0,1,S,0
713,1,10,1,0,1,S,1
714,3,6,0,0,1,S,0
715,2,11,0,0,1,S,0
716,3,4,0,0,1,S,0
717,1,8,0,0,0,C,1
718,2,6,0,0,0,S,1
719,3,-1,0,0,1,Q,0
720,3,7,0,0,1,S,0
721,2,2,0,1,0,S,1
722,3,4,1,0,1,S,0
723,2,7,0,0,1,S,0
724,2,10,0,0,1,S,0
725,1,6,1,0,1,S,1
726,3,4,0,0,1,S,0
727,2,6,3,0,0,S,1
728,3,-1,0,0,0,Q,1
729,2,5,1,0,1,S,0
730,3,5,1,0,0,S,0
731,1,6,0,0,0,S,1
732,3,3,0,0,1,C,0
733,2,-1,0,0,1,S,0
734,2,5,0,0,1,S,0
735,2,5,0,0,1,S,0
736,3,6,0,0,1,S,0
737,3,10,1,3,0,S,0
738,1,7,0,0,1,C,1
739,3,-1,0,0,1,S,0
740,3,-1,0,0,1,S,0
741,1,-1,0,0,1,S,1
742,1,8,1,0,1,S,0
743,1,5,2,2,0,C,1
744,3,5,1,0,1,S,0
745,3,7,0,0,1,S,1
746,1,14,1,1,1,S,0
747,3,4,1,1,1,S,0
748,2,6,0,0,0,S,1
749,1,4,1,0,1,S,0
750,3,7,0,0,1,Q,0
751,2,1,1,1,0,S,1
752,3,2,0,1,1,S,1
753,3,7,0,0,1,S,0
754,3,5,0,0,1,S,0
755,2,10,1,2,0,S,1
756,2,0,1,1,1,S,1
757,3,6,0,0,1,S,0
758,2,4,0,0,1,S,0
759,3,7,0,0,1,S,0
760,1,7,0,0,0,S,1
761,3,-1,0,0,1,S,0
762,3,9,0,0,1,S,0
763,3,4,0,0,1,C,1
764,1,8,1,2,0,S,1
765,3,4,0,0,1,S,0
766,1,11,1,0,0,S,1
767,1,-1,0,0,1,C,0
768,3,7,0,0,0,Q,0
769,3,-1,1,0,1,Q,0
770,3,7,0,0,1,S,0
771,3,5,0,0,1,S,0
772,3,10,0,0,1,S,0
773,2,12,0,0,0,S,0
774,3,-1,0,0,1,C,0
775,2,11,1,3,0,S,1
776,3,4,0,0,1,S,0
777,3,-1,0,0,1,Q,0
778,3,1,0,0,0,S,1
779,3,-1,0,0,1,Q,0
780,1,9,0,1,0,S,1
781,3,3,0,0,0,C,1
782,1,4,1,0,0,S,1
783,1,6,0,0,1,S,0
784,3,-1,1,2,1,S,0
785,3,5,0,0,1,S,0
786,3,5,0,0,1,S,0
787,3,4,0,0,0,S,1
788,3,2,4,1,1,Q,0
789,3,0,1,2,1,S,1
790,1,10,0,0,1,C,0
791,3,-1,0,0,1,Q,0
792,2,4,0,0,1,S,0
793,3,-1,8,2,0,S,0
794,1,-1,0,0,1,C,0
795,3,5,0,0,1,S,0
796,2,8,0,0,1,S,0
797,1,10,0,0,0,S,1
798,3,7,0,0,0,S,1
799,3,6,0,0,1,C,0
800,3,6,1,1,0,S,0
801,2,7,0,0,1,S,0
802,2,7,1,1,0,S,1
803,1,3,1,2,1,S,1
804,3,0,0,1,1,C,1
805,3,6,0,0,1,S,1
806,3,7,0,0,1,S,0
807,1,8,0,0,1,S,0
808,3,4,0,0,0,S,0
809,2,8,0,0,1,S,0
810,1,7,1,0,0,S,1
811,3,6,0,0,1,S,0
812,3,8,0,0,1,S,0
813,2,7,0,0,1,S,0
814,3,2,4,2,0,S,0
815,3,7,0,0,1,S,0
816,1,-1,0,0,1,S,0
817,3,5,0,0,0,S,0
818,2,7,1,1,1,C,0
819,3,9,0,0,1,S,0
820,3,2,3,2,1,S,0
821,1,11,1,1,0,S,1
822,3,6,0,0,1,S,1
823,1,8,0,0,1,S,0
824,3,6,0,1,0,S,1
825,3,1,4,1,1,S,0
826,3,-1,0,0,1,Q,0
827,3,-1,0,0,1,S,0
828,2,0,0,2,1,C,1
829,3,-1,0,0,1,Q,1
830,1,13,0,0,0,Empty,1
831,3,3,1,0,0,C,1
832,2,0,1,1,1,S,1
833,3,-1,0,0,1,C,0
834,3,5,0,0,1,S,0
835,3,4,0,0,1,S,0
836,1,8,1,1,0,C,1
837,3,5,0,0,1,S,0
838,3,-1,0,0,1,S,0
839,3,7,0,0,1,S,1
840,1,-1,0,0,1,C,1
841,3,4,0,0,1,S,0
842,2,4,0,0,1,S,0
843,1,6,0,0,0,C,1
844,3,7,0,0,1,C,0
845,3,4,0,0,1,S,0
846,3,9,0,0,1,S,0
847,3,-1,8,2,1,S,0
848,3,7,0,0,1,C,0
849,2,6,0,1,1,S,0
850,1,-1,1,0,0,C,1
851,3,1,4,2,1,S,0
852,3,15,0,0,1,S,0
853,3,2,1,1,0,C,0
854,1,4,0,1,0,S,1
855,2,9,1,0,0,S,0
856,3,4,0,1,0,S,1
857,1,9,1,1,0,S,1
858,1,11,0,0,1,S,1
859,3,5,0,3,0,C,1
860,3,-1,0,0,1,C,0
861,3,9,2,0,1,S,0
862,2,5,1,0,1,S,0
863,1,10,0,0,0,S,1
864,3,-1,8,2,0,S,0
865,2,5,0,0,1,S,0
866,2,9,0,0,0,S,1
867,2,6,1,0,0,C,1
868,1,7,0,0,1,S,0
869,3,-1,0,0,1,S,0
870,3,1,1,1,1,S,1
871,3,6,0,0,1,S,0
872,1,10,1,1,0,S,1
873,1,7,0,0,1,S,0
874,3,10,0,0,1,S,0
875,2,6,1,0,0,C,1
876,3,3,0,0,0,C,1
877,3,4,0,0,1,S,0
878,3,4,0,0,1,S,0
879,3,-1,0,0,1,S,0
880,1,12,0,1,0,C,1
881,2,5,0,1,0,S,1
882,3,7,0,0,1,S,0
883,3,5,0,0,0,S,0
884,2,6,0,0,1,S,0
885,3,5,0,0,1,S,0
886,3,8,0,5,0,Q,0
887,2,6,0,0,1,S,0
888,1,4,0,0,0,S,1
889,3,-1,1,2,0,S,0
890,1,6,0,0,1,C,1
891,3,7,0,0,1,Q,0
